      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** 1;20S;2 ****
2018-11-17 14:56:56,     35,      19.65,           0,       0.00,        1.78,        0.00,        0.00,      35,       0
**** 1;20S;4 ****
2018-11-17 14:57:45,     42,      19.36,           0,       0.00,        2.17,        0.00,        0.00,      42,       0
**** 1;20S;8 ****
2018-11-17 14:58:16,     32,      19.19,           0,       0.00,        1.67,        0.00,        0.00,      32,       0
**** 1;20S;16 ****
2018-11-17 14:58:42,     37,      19.22,           0,       0.00,        1.93,        0.00,        0.00,      37,       0
**** 1;20S;32 ****
2018-11-17 14:59:08,     31,      19.77,           0,       0.00,        1.57,        0.00,        0.00,      31,       0
**** 1;20S;64 ****
2018-11-17 15:01:39,     40,      19.34,           0,       0.00,        2.07,        0.00,        0.00,      40,       0
**** 1;20S;128 ****
2018-11-17 15:04:59,     39,      19.09,           0,       0.00,        2.04,        0.00,        0.00,      39,       0
**** 1;20S;256 ****
2018-11-17 15:05:26,     45,      19.58,           0,       0.00,        2.30,        0.00,        0.00,      45,       0
**** 1;20S;512 ****
2018-11-17 15:05:53,     39,      19.55,           0,       0.00,        1.99,        0.00,        0.00,      39,       0
**** 1;20S;1024 ****
2018-11-17 15:06:21,     42,      19.38,           0,       0.00,        2.17,        0.00,        0.00,      42,       0
**** 10;20S;2 ****
2018-11-17 15:06:59,    409,      19.03,           0,       0.02,       21.49,        0.00,        0.53,     409,       0
**** 10;20S;4 ****
2018-11-17 15:11:01,    377,      19.70,           0,       0.02,       19.14,        0.00,        0.40,     377,       0
**** 10;20S;8 ****
2018-11-17 15:11:28,    340,      19.37,           0,       0.04,       17.55,        0.00,        0.70,     340,       0
**** 10;20S;16 ****
2018-11-17 15:13:35,    324,      19.03,           0,       0.03,       17.03,        0.00,        0.50,     324,       0
**** 10;20S;32 ****
2018-11-17 15:15:35,    378,      19.81,           0,       0.03,       19.08,        0.00,        0.55,     378,       0
**** 10;20S;64 ****
2018-11-17 15:18:02,    390,      19.71,           0,       0.03,       19.79,        0.00,        0.68,     390,       0
**** 10;20S;128 ****
2018-11-17 15:18:43,    310,      19.32,           0,       0.05,       16.05,        0.00,        0.73,     310,       0
**** 10;20S;256 ****
2018-11-17 15:19:17,    395,      19.51,           0,       0.04,       20.25,        0.00,        0.75,     396,       0
**** 10;20S;512 ****
2018-11-17 15:19:47,    342,      19.28,           0,       0.03,       17.74,        0.00,        0.60,     342,       0
**** 10;20S;1024 ****
2018-11-17 15:20:23,    367,      19.58,           0,       0.04,       18.74,        0.00,        0.78,     367,       0
**** 100;20S;2 ****
2018-11-17 15:21:46,   2988,      19.18,           1,       0.12,      155.79,        0.05,       19.24,    2988,       0
**** 100;20S;4 ****
2018-11-17 15:22:52,   2830,      19.13,           1,       0.13,      147.94,        0.05,       18.58,    2830,       0
**** 100;20S;8 ****
2018-11-17 15:23:47,   2766,      19.31,           1,       0.14,      143.24,        0.05,       19.51,    2766,       0
**** 100;20S;16 ****
2018-11-17 15:24:28,   2417,      19.37,           1,       0.11,      124.78,        0.05,       13.42,    2417,       0
**** 100;20S;32 ****
2018-11-17 15:25:07,   3183,      19.16,           1,       0.07,      166.13,        0.05,       11.39,    3183,       0
**** 100;20S;64 ****
2018-11-17 15:28:51,   3040,      19.27,           1,       0.11,      157.76,        0.05,       17.42,    3040,       0
**** 100;20S;128 ****
2018-11-17 15:29:28,   2202,      20.00,           1,       0.13,      110.10,        0.05,       14.84,    2202,       0
**** 100;20S;256 ****
2018-11-17 15:29:56,   2831,      19.88,           1,       0.12,      142.40,        0.05,       16.62,    2831,       0
**** 100;20S;512 ****
2018-11-17 15:30:29,   2296,      19.15,           1,       0.23,      119.90,        0.05,       27.57,    2296,       0
**** 100;20S;1024 ****
2018-11-17 15:31:49,   2515,      19.26,           1,       0.14,      130.58,        0.05,       17.71,    2515,       0
**** 1000;20S;2 ****
2018-11-17 15:32:20,  10298,      19.75,           4,       0.97,      521.42,        0.20,      508.01,   10298,       0
**** 1000;20S;4 ****
2018-11-17 15:33:01,  13768,      19.65,           6,       0.47,      700.66,        0.31,      328.01,   13768,       0
**** 1000;20S;8 ****
2018-11-17 15:33:37,  18262,      19.75,           8,       0.23,      924.66,        0.41,      208.21,   18262,       0
**** 1000;20S;16 ****
2018-11-17 15:34:12,  15872,      19.31,           7,       0.39,      821.96,        0.36,      320.47,   15872,       0
**** 1000;20S;32 ****
2018-11-17 15:34:41,  17841,      19.81,           8,       0.37,      900.61,        0.40,      332.90,   17841,       0
**** 1000;20S;64 ****
2018-11-17 15:35:22,  19648,      19.46,           9,       0.23,     1009.66,        0.46,      235.34,   19648,       0
**** 1000;20S;128 ****
2018-11-17 15:36:42,  12757,      19.10,           6,       0.34,      667.91,        0.31,      228.32,   12757,       0
**** 1000;20S;256 ****
2018-11-17 15:37:32,  13189,      19.14,           6,       0.34,      689.08,        0.31,      231.45,   13189,       0
**** 1000;20S;512 ****
2018-11-17 15:38:00,   9569,      19.79,           4,       0.26,      483.53,        0.20,      124.67,    9569,       0
**** 1000;20S;1024 ****
2018-11-17 15:39:26,   9113,      19.36,           4,       0.34,      470.71,        0.21,      161.76,    9113,       0
